weights
1
1.0000018
1.0000063
1.0039226
1.0007035
1.0000255
1.0004622
1.0000336
1.0003384
1.0000548
1.00015
1.0001454
1.0001361
1.0001322
1.0001265
1.0001228
1.0000665
1.0000803
1.000083
1.0000817
1.0000818
1.000081
1.0000808
1.000088
1.0000911
1.0000921
1.0000929
1.0000752
1.0000755
1.0001012
1.0000707
1.0001044
1.0000676
1.0001079
1.0001118
1.0000647
1.0000651
1.0000646
1.0000639
1.0000632
1.0000621
1.0001237
1.0001261
1.0000607
1.0001302
1.0001363
1.0000587
1.000141
1.0000576
1.0000572
1.0000571
1.0000566
1.000056
1.0000558
1.0001634
1.0001655
1.0000529
1.0001767
1.0000525
1.0001794
1.0001788
1.0001812
1.0000527
1.0001819
1.000052
1.0000521
1.000186
1.0000521
1.0000521
1.0000517
1.0001947
1.0000513
1.0000514
1.0000511
1.0000509
1.0002025
1.0000515
1.0002044
1.0000507
1.00005
1.0000501
1.0002111
1.0000497
1.0002176
1.00005
1.0000503
1.0000501
1.00005
1.0000494
1.0002228
1.0000496
1.0000503
1.0000494
1.0002241
1.0000489
1.0002303
1.0002364
1.0002313
1.0000488
1.000238
1.0000489
1.0002335
1.0002447
1.0002468
1.0000486
1.0000484
1.0002456
1.0002534
1.00025
1.0000479
1.0002532
1.0000479
1.0002514
1.0000479
1.0000478
1.0000484
1.0002481
1.000048
1.000048
1.0000482
1.0000484
